,,,,,,,,,,,,,
QUESTIONNAIRE,name,use_case_in_charting,code_system,code,scoring_function_js,can_originate_in_charting,expected_completion_time,search_tags,scoring_code_system,scoring_code,content,prologue,use_in_shx
QUESTION,,name,code_system,code,code_description,content,responses_code_system,responses_type,use_in_shx,,,,
RESPONSE,,,name,code,code_description,value,,,,,,,
QUESTIONNAIRE,Abbreviated_medical_history_cooper,Abbreviated_medical_history_cooper,INTERNAL,AMH_C,,TRUE,,,,,,,TRUE
QUESTION,,What sex were you assigned at birth,INTERNAL,AMH_C_sex_at_birth,,,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Female,AMH_C_sex_at_birth1,,,,,,,,,
RESPONSE,,,Male,AMH_C_sex_at_birth2,,,,,,,,,
QUESTION,,Personal Health History,INTERNAL,AMH_C_health_history,,,INTERNAL,MULT,TRUE,,,,
RESPONSE,,,Arthritis,AMH_C_health_history1,,,,,,,,,
RESPONSE,,,Blood Disorder,AMH_C_health_history2,,,,,,,,,
RESPONSE,,,"Chrohn's, Diverticulitis, Colitis",AMH_C_health_history3,,,,,,,,,
RESPONSE,,,Diabetic - Type 1,AMH_C_health_history4,,,,,,,,,
RESPONSE,,,Diabetic - Type 2,AMH_C_health_history5,,,,,,,,,
RESPONSE,,,Drug/Alcohol Abuse,AMH_C_health_history6,,,,,,,,,
RESPONSE,,,Heart Disease,AMH_C_health_history7,,,,,,,,,
RESPONSE,,,High Blood Pressure,AMH_C_health_history8,,,,,,,,,
RESPONSE,,,High Cholesterol,AMH_C_health_history9,,,,,,,,,
RESPONSE,,,History of Cancer,AMH_C_health_history10,,,,,,,,,
RESPONSE,,,History of Stroke,AMH_C_health_history11,,,,,,,,,
RESPONSE,,,History of eating disorder,AMH_C_health_history12,,,,,,,,,
RESPONSE,,,Hypothyroidism,AMH_C_health_history13,,,,,,,,,
RESPONSE,,,Hyperthyroidism,AMH_C_health_history14,,,,,,,,,
RESPONSE,,,Kidney Disease,AMH_C_health_history15,,,,,,,,,
RESPONSE,,,Migraines,AMH_C_health_history16,,,,,,,,,
RESPONSE,,,Mental Illness,AMH_C_health_history17,,,,,,,,,
RESPONSE,,,PCOS/Endocrine Disorder,AMH_C_health_history18,,,,,,,,,
RESPONSE,,,Seizure Disorder,AMH_C_health_history19,,,,,,,,,
RESPONSE,,,Currently Breastfeeding,AMH_C_health_history20,,,,,,,,,
RESPONSE,,,Currently Pregnant,AMH_C_health_history21,,,,,,,,,
QUESTION,,Other,INTERNAL,AMH_C_other,,,INTERNAL,TXT,FALSE,,,,
RESPONSE,,,number if known,AMH_C_other1,,,,,,,,,
QUESTION,,Date of last physical exam,INTERNAL,AMH_C_last_exam,,,INTERNAL,TXT,FALSE,,,,
RESPONSE,,,Last Physical,AMH_C_last_exam1,,,,,,,,,
QUESTION,,Primary Care Physician,INTERNAL,AMH_C_pcp,,,INTERNAL,TXT,FALSE,,,,
RESPONSE,,,Primary Care Physician,AMH_C_pcp1,,,,,,,,,
QUESTION,,Fluid Restrictions,INTERNAL,AMH_C_fluid_restrictions,,,INTERNAL,TXT,FALSE,,,,
RESPONSE,,,Fluid Restrictions (oz / day),AMH_C_fluid_restrictions1,,,,,,,,,
QUESTION,,"Recommended Dietary Guidelines, from Physician",INTERNAL,AMH_C_dietary_guidelines,,,INTERNAL,TXT,FALSE,,,,
RESPONSE,,,Limited Cooking Capacity,AMH_C_dietary_guidelines1,,,,,,,,,
QUESTION,,"If you have selected any of the above, please provide applicable details",INTERNAL,AMH_C_applicable_details,,,INTERNAL,TXT,FALSE,,,,
RESPONSE,,,Applicable details,AMH_C_applicable_details1,,,,,,,,,
QUESTION,,Activity Restrictions,INTERNAL,AMH_C_activity_restrictions,,,INTERNAL,TXT,FALSE,,,,
RESPONSE,,,Positive,AMH_C_activity_restrictions1,,,,,,,,,
