QUESTIONNAIRE	name	use_case_in_charting	code_system	code	scoring_function_js	can_originate_in_charting	expected_completion_time	search_tags	scoring_code_system	scoring_code	content	prologue	use_in_shx
QUESTION		name	code_system	code	code_description	content	responses_code_system	responses_type	use_in_shx				
RESPONSE			name	code	code_description	value							
QUESTIONNAIRE	jotform_medical_history	jotform_medical_history	INTERNAL	JMH		TRUE							FALSE
QUESTION		Date of last physical exam	INTERNAL	JMH_last_exam			INTERNAL	TXT	FALSE				
RESPONSE			Last Physical	JMH_last_exam1									
QUESTION		Primary Care Physician	INTERNAL	JMH_pcp			INTERNAL	TXT	FALSE				
RESPONSE			Primary Care Physician	JMH_pcp1									
QUESTION		Personal Health History	INTERNAL	JMH_health_history			INTERNAL	MULT	FALSE				
RESPONSE			Arthritis	JMH_health_history1									
RESPONSE			Blood Disorder	JMH_health_history2									
RESPONSE			Chrohn's, Diverticulitis, Colitis	JMH_health_history3									
RESPONSE			Diabetic - Type 1	JMH_health_history4									
RESPONSE			Diabetic - Type 2	JMH_health_history5									
RESPONSE			Drug/Alcohol Abuse	JMH_health_history6									
RESPONSE			Heart Disease	JMH_health_history7									
RESPONSE			High Blood Pressure	JMH_health_history8									
RESPONSE			High Cholesterol	JMH_health_history9									
RESPONSE			History of Cancer	JMH_health_history10									
RESPONSE			History of Stroke	JMH_health_history11									
RESPONSE			History of eating disorder	JMH_health_history12									
RESPONSE			Hypothyroidism	JMH_health_history13									
RESPONSE			Hyperthyroidism	JMH_health_history14									
RESPONSE			Kidney Disease	JMH_health_history15									
RESPONSE			Migraines	JMH_health_history16									
RESPONSE			Mental Illness	JMH_health_history17									
RESPONSE			PCOS/Endocrine Disorder	JMH_health_history18									
RESPONSE			Seizure Disorder	JMH_health_history19									
RESPONSE			Currently Breastfeeding	JMH_health_history20									
RESPONSE			Currently Pregnant	JMH_health_history21									
RESPONSE			None of the Above	JMH_health_history22									
RESPONSE			Other	JMH_health_history23									
QUESTION		Additional Details (Personal)	INTERNAL	JMH_hh_additional			INTERNAL	TXT	FALSE				
RESPONSE			Applicable details	JMH_hh_additional1									
QUESTION		Family Health History	INTERNAL	JMH_family_history			INTERNAL	MULT	FALSE				
RESPONSE			Arthritis	JMH_family_history1									
RESPONSE			Blood Disorder	JMH_family_history2									
RESPONSE			Chrohn's, Diverticulitis, Colitis	JMH_family_history3									
RESPONSE			Diabetic - Type 1	JMH_family_history4									
RESPONSE			Diabetic - Type 2	JMH_family_history5									
RESPONSE			Drug/Alcohol Abuse	JMH_family_history6									
RESPONSE			Heart Disease	JMH_family_history7									
RESPONSE			High Blood Pressure	JMH_family_history8									
RESPONSE			High Cholesterol	JMH_family_history9									
RESPONSE			History of Cancer	JMH_family_history10									
RESPONSE			History of Stroke	JMH_family_history11									
RESPONSE			History of eating disorder	JMH_family_history12									
RESPONSE			Hypothyroidism	JMH_family_history13									
RESPONSE			Hyperthyroidism	JMH_family_history14									
RESPONSE			Kidney Disease	JMH_family_history15									
RESPONSE			Migraines	JMH_family_history16									
RESPONSE			Mental Illness	JMH_family_history17									
RESPONSE			PCOS/Endocrine Disorder	JMH_family_history18									
RESPONSE			Seizure Disorder	JMH_family_history19									
RESPONSE			None of the Above	JMH_family_history22									
RESPONSE			Other	JMH_family_history23									
QUESTION		Additional Details (Family)	INTERNAL	JMH_fh_other			INTERNAL	TXT	FALSE				
RESPONSE			Applicable details	JMH_fh_other1									
QUESTION		Date of Last Period	INTERNAL	JMH_period			INTERNAL	TXT	FALSE				
RESPONSE			Date of last period	JMH_period1									
QUESTION		Regular Periods	INTERNAL	JMH_regular_periods			INTERNAL 	TXT	FALSE				
RESPONSE			Note any irregularities	JMH_regular_periods1									
QUESTION		Recall typical Breakfast	INTERNAL	JMH_breakfast			INTERNAL 	TXT	FALSE				
RESPONSE			Recall typical breakfast	JMH_breakfast1									
QUESTION		Recall typical Lunch	INTERNAL	JMH_lunch			INTERNAL 	TXT	FALSE				
RESPONSE			Recall typical lunch	JMH_lunch1									
QUESTION		Recall typical Dinner	INTERNAL	JMH_snacks			INTERNAL 	TXT	FALSE				
RESPONSE			Recall typical dinner	JMH_snacks1									
QUESTION		Recall typical Snacks	INTERNAL	JMH_snacks			INTERNAL 	TXT	FALSE				
