,,,,,,,,,,,,,
QUESTIONNAIRE,name,use_case_in_charting,code_system,code,scoring_function_js,can_originate_in_charting,expected_completion_time,search_tags,scoring_code_system,scoring_code,content,prologue,use_in_shx
QUESTION,,name,code_system,code,code_description,content,responses_code_system,responses_type,use_in_shx,,,,
RESPONSE,,,name,code,code_description,value,,,,,,,
QUESTIONNAIRE,Likert_Post_Program,Likert_post_Program,INTERNAL,Likert_post_Program,,TRUE,,,,,,,FALSE
QUESTION,,I understand how the meals and nutrition guiidance support my heart health,INTERNAL,l_post_hearth_health,,l_post_hearth_health,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_post_hearth_health1,,,,,,,,,
RESPONSE,,,Disagree,l_post_hearth_health2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_post_hearth_health3,,,,,,,,,
RESPONSE,,,Agree,l_post_hearth_health4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_post_hearth_health5,,,,,,,,,
QUESTION,,I feel confident choosing foods that support my heart condition,INTERNAL,l_post_choosing_foods,,l_post_choosing_foods,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_post_choosing_foods1,,,,,,,,,
RESPONSE,,,Disagree,l_post_choosing_foods2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_post_choosing_foods3,,,,,,,,,
RESPONSE,,,Agree,l_post_choosing_foods4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_post_choosing_foods5,,,,,,,,,
QUESTION,,The meals fit well into my daily routine and are easy to use,INTERNAL,l_post_fit_well,,l_post_fit_well,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_post_fit_well1,,,,,,,,,
RESPONSE,,,Disagree,l_post_fit_well2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_post_fit_well3,,,,,,,,,
RESPONSE,,,Agree,l_post_fit_well4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_post_fit_well5,,,,,,,,,
QUESTION,,The meals and nutrition support have reduced my stress about what to eat,INTERNAL,l_post_reduced_stress,,l_post_reduced_stress,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_post_reduced_stress1,,,,,,,,,
RESPONSE,,,Disagree,l_post_reduced_stress2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_post_reduced_stress3,,,,,,,,,
RESPONSE,,,Agree,l_post_reduced_stress4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_post_reduced_stress5,,,,,,,,,
QUESTION,,"Since starting this program, I feel better able to manage my heart failure symptoms",INTERNAL,l_post_manage_symptoms,,l_post_manage_symptoms,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_post_manage_symptoms1,,,,,,,,,
RESPONSE,,,Disagree,l_post_manage_symptoms2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_post_manage_symptoms3,,,,,,,,,
RESPONSE,,,Agree,l_post_manage_symptoms4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_post_manage_symptoms5,,,,,,,,,
QUESTION,,"Overall, this nutritian and meal program has had a positive impact on my health",INTERNAL,l_post_health_impact,,l_post_health_impact,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_post_health_impact1,,,,,,,,,
RESPONSE,,,Disagree,l_post_health_impact2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_post_health_impact3,,,,,,,,,
RESPONSE,,,Agree,l_post_health_impact4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_post_health_impact5,,,,,,,,,
QUESTION,,I would recomment this nutritian and meal program to others with heart failure,INTERNAL,l_post_recommend,,l_post_recommend,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_post_recommend1,,,,,,,,,
RESPONSE,,,Disagree,l_post_recommend2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_post_recommend3,,,,,,,,,
RESPONSE,,,Agree,l_post_recommend4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_post_recommend5,,,,,,,,,
QUESTION,,What part of the meals or nutritian support was most helpful for you,INTERNAL,l_post_which_part,,l_post_which_part,INTERNAL,TEXT,FALSE,,,,
RESPONSE,,,What part of the meals or nutritian support was most helpful for you,l_post_which_part1,,,,,,,,,
