,,,,,,,,,,,,,
QUESTIONNAIRE,name,use_case_in_charting,code_system,code,scoring_function_js,can_originate_in_charting,expected_completion_time,search_tags,scoring_code_system,scoring_code,content,prologue,use_in_shx
QUESTION,,name,code_system,code,code_description,content,responses_code_system,responses_type,use_in_shx,,,,
RESPONSE,,,name,code,code_description,value,,,,,,,
QUESTIONNAIRE,Likert_Pre_Program,Likert_Pre_Program,INTERNAL,Likert_Pre_Program,,TRUE,,,,,,,FALSE
QUESTION,,I understand how nutrition affects my heart health,INTERNAL,l_pre_hearth_health,,l_pre_hearth_health,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_pre_hearth_health1,,,,,,,,,
RESPONSE,,,Disagree,l_pre_hearth_health2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_pre_hearth_health3,,,,,,,,,
RESPONSE,,,Agree,l_pre_hearth_health4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_pre_hearth_health5,,,,,,,,,
QUESTION,,I feel confident choosing foods that support my heart condition,INTERNAL,l_pre_choosing_foods,,l_pre_choosing_foods,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_pre_choosing_foods1,,,,,,,,,
RESPONSE,,,Disagree,l_pre_choosing_foods2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_pre_choosing_foods3,,,,,,,,,
RESPONSE,,,Agree,l_pre_choosing_foods4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_pre_choosing_foods5,,,,,,,,,
QUESTION,,Figuring out what to eat for my heart condition feels stressful or overwhelming,INTERNAL,l_pre_figuring_out,,l_pre_figuring_out,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_pre_figuring_out1,,,,,,,,,
RESPONSE,,,Disagree,l_pre_figuring_out2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_pre_figuring_out3,,,,,,,,,
RESPONSE,,,Agree,l_pre_figuring_out4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_pre_figuring_out5,,,,,,,,,
QUESTION,,My current diet supports managing my heart failure symptoms,INTERNAL,l_pre_supporting_diet,,l_pre_supporting_diet,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_pre_supporting_diet1,,,,,,,,,
RESPONSE,,,Disagree,l_pre_supporting_diet2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_pre_supporting_diet3,,,,,,,,,
RESPONSE,,,Agree,l_pre_supporting_diet4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_pre_supporting_diet5,,,,,,,,,
QUESTION,,"Overall, I feel supported in managing my heart condition through nutrition",INTERNAL,l_pre_feel_supported,,l_pre_feel_supported,INTERNAL,SING,FALSE,,,,
RESPONSE,,,Strongly disagree,l_pre_feel_supported1,,,,,,,,,
RESPONSE,,,Disagree,l_pre_feel_supported2,,,,,,,,,
RESPONSE,,,Neither agree or disagree,l_pre_feel_supported3,,,,,,,,,
RESPONSE,,,Agree,l_pre_feel_supported4,,,,,,,,,
RESPONSE,,,Strongly Agree,l_pre_feel_supported5,,,,,,,,,
QUESTION,,What is the hardest part about eating for your heart health right now,INTERNAL,l_pre_hardest_part,,l_pre_hardest_part,INTERNAL,TEXT,FALSE,,,,
RESPONSE,,,What is the hardest part about eating for your heart health right now,l_pre_hardest_part1,,,,,,,,,
